student_id,gender,parental_education,family_income,internet_access,extra_classes,health_status,prev_score,study_hours_per_day,attendance_pct,sleep_hours,final_score,pass_fail
23,Male,No Education,Low,Yes,Yes,Poor,53.2,5.7,80.8,9.4,52.73,Pass
24,Male,No Education,High,Yes,No,Average,66.9,5.2,91.4,7.0,47.24,Fail
25,Male,Postgraduate,Low,Yes,Yes,Poor,80.8,4.9,100.0,,62.19,Pass
26,Female,Secondary,Low,No,No,Average,55.3,3.8,90.4,5.7,47.48,Fail
27,Male,Secondary,Low,Yes,No,Poor,51.6,,78.7,8.3,45.29,Fail
28,Male,Graduate,Medium,Yes,Yes,Excellent,32.5,3.9,90.7,8.3,47.48,Fail
29,Female,Secondary,High,Yes,No,Average,63.6,4.8,77.2,8.0,47.07,Fail
30,Male,Postgraduate,Medium,Yes,No,Average,92.6,7.1,75.4,7.0,58.76,Pass
31,Female,Graduate,High,No,No,Average,66.2,2.5,69.7,4.0,47.47,Fail
32,Male,Primary,Medium,Yes,No,Excellent,61.7,6.8,98.5,6.2,45.66,Fail
33,Male,Secondary,Medium,Yes,No,Good,66.8,7.1,62.7,6.2,46.75,Fail
34,Female,Postgraduate,High,Yes,Yes,Good,61.8,4.3,98.0,5.8,52.84,Pass
35,Female,Postgraduate,Low,Yes,No,Excellent,49.8,0.3,82.5,7.1,36.3,Fail
36,Female,Secondary,Medium,No,Yes,Good,74.3,3.3,54.0,6.5,49.69,Fail
37,Male,Graduate,High,Yes,No,Good,65.4,7.1,80.5,6.0,47.16,Fail
38,Male,Primary,High,Yes,Yes,Average,62.3,4.5,43.5,5.7,38.23,Fail
39,Female,Postgraduate,High,Yes,No,Good,47.4,2.5,84.4,6.1,44.42,Fail
40,Male,Secondary,High,No,No,Average,81.6,3.5,88.3,,62.21,Pass
41,Male,Postgraduate,Low,Yes,No,Good,72.0,6.2,66.1,6.2,50.27,Pass
42,Male,Graduate,High,No,Yes,Average,53.7,5.6,76.9,6.4,50.33,Pass
43,Male,Graduate,Medium,Yes,Yes,Good,77.0,4.0,100.0,6.5,61.95,Pass
44,Female,Secondary,High,No,No,Poor,54.5,3.8,67.4,7.4,41.5,Fail
45,Male,Secondary,Medium,Yes,No,Average,50.3,3.7,59.1,7.5,32.26,Fail
46,Female,Primary,Medium,No,Yes,Good,50.6,2.7,97.2,4.0,38.74,Fail
47,Male,Secondary,Medium,Yes,No,Excellent,35.4,7.7,100.0,8.2,47.55,Fail
48,Female,Primary,Medium,No,No,Good,69.1,3.9,75.1,8.7,45.03,Fail
49,Female,Graduate,Low,Yes,Yes,Good,34.5,6.9,90.2,5.7,48.44,Fail
50,Male,Secondary,High,Yes,No,Average,43.6,7.5,95.1,5.8,52.07,Pass
51,Female,Primary,High,Yes,No,Average,30.9,6.5,63.9,6.5,33.78,Fail
52,Female,Postgraduate,Low,Yes,No,Poor,60.7,3.6,67.7,6.1,38.08,Fail
53,Female,Postgraduate,High,Yes,Yes,Average,59.7,5.3,93.5,7.3,55.05,Pass
54,Female,Postgraduate,Medium,No,No,Average,57.1,4.5,100.0,4.7,46.33,Fail
55,Female,Postgraduate,Medium,No,No,Average,46.4,2.7,83.4,5.7,37.93,Fail
56,Female,Primary,Low,Yes,Yes,Good,44.4,5.1,61.8,8.8,32.71,Fail
57,Male,Secondary,High,No,No,Poor,69.0,2.1,100.0,5.9,51.72,Pass
58,Male,Graduate,Medium,Yes,No,Good,53.7,6.9,67.0,8.5,50.48,Pass
59,Male,Graduate,Medium,Yes,No,Good,66.7,3.6,70.0,7.4,46.6,Fail
60,Male,Primary,Medium,Yes,Yes,Good,48.7,4.9,80.1,4.8,41.45,Fail
61,Male,Graduate,Low,Yes,No,Good,64.7,,98.3,7.8,46.09,Fail
62,Male,Secondary,Medium,No,No,Average,81.5,4.0,87.8,6.9,58.37,Pass
63,Female,Secondary,Low,Yes,Yes,Average,70.8,5.7,81.2,6.5,48.65,Fail
64,Male,Secondary,Low,Yes,Yes,Good,55.8,3.6,81.9,7.3,46.11,Fail
65,Male,Graduate,Medium,Yes,No,Excellent,65.9,6.2,75.7,7.6,48.75,Fail
66,Female,Graduate,High,Yes,No,Average,58.4,1.8,83.4,7.8,49.49,Fail
67,Male,Primary,Medium,Yes,Yes,Average,62.1,4.8,37.1,8.4,36.57,Fail
68,Female,Postgraduate,Low,No,No,Excellent,57.1,8.4,70.6,7.5,47.79,Fail
69,Male,Secondary,Medium,No,Yes,Good,59.5,2.5,78.6,5.3,47.0,Fail
70,Female,Primary,High,No,No,Good,65.2,3.1,57.7,6.4,51.94,Pass
71,Female,Postgraduate,Medium,Yes,No,Good,47.1,5.5,80.8,10.0,49.21,Fail
72,Male,Postgraduate,High,Yes,No,Average,46.8,4.9,71.9,7.9,41.42,Fail
73,Male,Postgraduate,Medium,Yes,Yes,Good,,5.2,100.0,9.8,54.82,Pass
74,Female,Graduate,High,Yes,No,Good,38.0,5.5,98.6,8.7,43.19,Fail
75,Female,Graduate,Low,Yes,Yes,Average,43.7,5.8,68.0,7.3,35.52,Fail
76,Female,Graduate,Medium,No,Yes,Good,64.4,6.7,72.7,7.4,46.65,Fail
77,Female,Primary,Medium,Yes,No,Excellent,48.6,5.3,73.9,7.0,38.45,Fail
78,Male,Secondary,Medium,Yes,No,Good,69.7,4.0,68.2,4.9,50.49,Pass
79,Male,Secondary,High,Yes,Yes,Average,62.5,5.8,77.9,7.0,43.92,Fail
80,Male,Secondary,High,Yes,No,Good,32.5,8.3,63.6,8.5,44.2,Fail
81,Female,Graduate,Low,Yes,No,Good,71.8,4.2,58.0,,49.59,Fail
82,Female,Secondary,Low,No,Yes,Excellent,74.2,,84.3,7.5,53.22,Pass
83,Male,Primary,Medium,Yes,No,Good,47.1,6.7,84.4,8.0,45.67,Fail
84,Male,Secondary,Low,No,No,Average,68.3,4.3,62.9,,42.09,Fail
85,Male,Graduate,Medium,Yes,No,Good,49.2,0.2,88.4,6.5,43.05,Fail
86,Male,Primary,High,Yes,No,Good,63.5,6.2,65.5,5.8,51.8,Pass
87,Female,Postgraduate,High,Yes,No,Poor,43.0,3.4,78.8,6.0,37.09,Fail
88,Female,Secondary,Medium,No,Yes,Good,35.1,4.3,87.3,5.5,32.34,Fail
89,Female,Secondary,High,No,No,Good,56.3,5.2,74.5,5.9,48.51,Fail
90,Male,Graduate,Medium,Yes,No,Good,60.1,4.9,81.8,8.7,50.19,Pass
91,Male,Graduate,Low,Yes,Yes,Average,56.0,5.9,67.3,5.9,38.89,Fail
92,Female,Secondary,Medium,Yes,No,Good,44.2,3.6,72.1,7.2,35.21,Fail
93,Female,Graduate,Medium,Yes,No,Excellent,56.0,5.5,71.9,6.4,41.11,Fail
94,Female,Graduate,Medium,No,No,Excellent,,4.0,63.8,8.4,39.86,Fail
95,Female,Secondary,Low,Yes,Yes,Excellent,61.3,6.0,72.3,8.6,45.98,Fail
96,Male,Postgraduate,Medium,Yes,Yes,Excellent,64.7,5.7,51.8,8.0,43.01,Fail
97,Female,Graduate,Medium,Yes,No,Poor,51.9,2.6,67.6,7.4,36.29,Fail
98,Male,Graduate,High,Yes,Yes,Good,79.6,6.7,70.7,6.7,51.12,Pass
99,Male,Postgraduate,Medium,Yes,No,Good,44.4,3.4,71.2,5.6,38.18,Fail
100,Male,Postgraduate,High,Yes,Yes,Excellent,69.3,6.1,71.4,9.3,52.27,Pass
101,Male,Graduate,High,No,Yes,Average,79.7,5.2,74.1,6.1,52.07,Pass
102,Female,Graduate,Low,No,Yes,Excellent,69.2,8.2,82.2,7.8,60.73,Pass
103,Male,Graduate,Medium,Yes,Yes,Good,59.0,4.1,88.1,8.3,51.82,Pass
104,Male,Graduate,High,No,No,Excellent,54.1,3.8,65.3,6.3,33.12,Fail
105,Female,Graduate,Medium,Yes,No,Average,77.5,4.5,57.0,8.2,50.52,Pass
106,Male,Graduate,High,Yes,Yes,Average,40.7,3.9,59.4,7.9,38.55,Fail
107,Male,Primary,Low,Yes,Yes,Good,47.4,6.1,67.7,9.1,38.96,Fail
108,Female,Postgraduate,Low,Yes,No,Poor,56.0,1.3,69.7,6.4,32.95,Fail
109,Male,Postgraduate,High,Yes,Yes,Excellent,80.6,2.4,63.5,5.5,49.76,Fail
110,Male,No Education,High,Yes,No,Poor,67.7,2.4,55.6,6.4,40.82,Fail
111,Male,Graduate,High,Yes,No,Good,47.5,6.4,68.2,7.3,36.83,Fail
112,Male,Primary,Medium,No,No,Good,57.3,7.9,77.7,7.1,41.0,Fail
113,Female,Secondary,High,Yes,No,Good,52.8,4.3,,6.5,43.05,Fail
114,Female,Graduate,High,Yes,No,Good,,4.2,66.6,4.7,43.74,Fail
115,Female,Primary,High,Yes,No,Good,76.7,4.6,68.8,7.6,48.12,Fail
116,Female,Graduate,Medium,Yes,Yes,Average,41.4,6.8,61.1,9.4,38.5,Fail
117,Female,Graduate,Medium,Yes,Yes,Poor,86.1,2.6,74.5,7.6,48.05,Fail
118,Male,Secondary,High,No,Yes,Good,74.4,5.0,62.3,7.7,46.22,Fail
119,Female,No Education,Medium,Yes,No,Good,78.4,6.5,83.6,7.7,58.49,Pass
120,Female,Secondary,Medium,Yes,No,Good,55.1,5.5,48.2,7.5,36.87,Fail
121,Female,Graduate,Medium,Yes,No,Good,59.8,4.9,69.6,8.1,37.05,Fail
122,Female,Postgraduate,Medium,Yes,Yes,Good,40.5,6.5,79.5,7.5,41.09,Fail
123,Male,Graduate,Medium,Yes,No,Good,54.1,0.0,77.8,6.6,35.21,Fail
124,Male,Secondary,Low,Yes,Yes,Poor,,5.9,100.0,6.0,55.56,Pass
125,Male,Graduate,High,Yes,Yes,Good,81.4,3.2,80.2,6.7,56.01,Pass
126,Male,Secondary,Medium,Yes,Yes,Excellent,45.4,0.8,59.9,7.4,25.62,Fail
127,Female,Graduate,Medium,Yes,Yes,Excellent,56.5,5.5,73.6,6.6,50.12,Pass
128,Female,Primary,Low,No,No,Average,59.7,7.2,48.4,,35.18,Fail
129,Male,Graduate,Low,Yes,Yes,Good,41.1,4.2,73.8,7.5,47.15,Fail
130,Male,Secondary,Low,No,No,Excellent,70.9,6.4,62.5,8.0,47.85,Fail
131,Male,Postgraduate,Medium,No,No,Good,51.1,7.7,88.7,8.5,43.61,Fail
132,Male,Secondary,Low,Yes,No,Poor,59.1,7.1,66.8,7.1,40.08,Fail
133,Male,Graduate,High,Yes,No,Poor,55.2,7.8,73.2,5.4,49.22,Fail
134,Male,Postgraduate,Low,Yes,Yes,Good,50.2,6.0,65.5,6.6,40.71,Fail
135,Female,Primary,Low,Yes,No,Excellent,61.9,4.7,100.0,7.1,52.23,Pass
136,Male,Postgraduate,Low,Yes,No,Good,58.8,1.3,70.2,4.8,49.89,Fail
137,Male,Graduate,Low,No,Yes,Poor,56.4,4.0,100.0,8.7,46.76,Fail
138,Female,Primary,High,No,No,Average,51.1,2.8,87.2,7.2,43.69,Fail
139,Male,Secondary,High,Yes,Yes,Good,66.8,8.8,82.2,,62.11,Pass
140,Female,Graduate,Medium,Yes,Yes,Excellent,86.8,4.1,80.5,8.6,58.61,Pass
141,Female,Primary,Low,Yes,No,Good,64.1,4.7,80.9,6.2,40.53,Fail
142,Male,Graduate,Low,No,No,Good,76.9,5.6,46.1,,48.07,Fail
143,Male,Secondary,Medium,Yes,Yes,Poor,41.1,4.6,70.8,6.9,32.67,Fail
144,Male,Graduate,High,Yes,No,Excellent,64.4,7.9,87.7,6.8,61.91,Pass
145,Male,No Education,Low,Yes,No,Excellent,45.5,3.3,74.3,6.1,34.64,Fail
146,Male,Postgraduate,Medium,Yes,No,Average,39.8,4.9,53.9,9.0,49.58,Fail
147,Female,Postgraduate,Medium,No,Yes,Good,50.9,3.0,74.2,6.5,49.1,Fail
148,Male,Postgraduate,Low,Yes,No,Average,79.9,1.9,100.0,7.8,53.13,Pass
149,Male,Graduate,Medium,Yes,Yes,Poor,76.3,3.3,,4.7,51.06,Pass
150,Male,Primary,Low,No,No,Average,65.6,4.4,74.1,8.4,50.2,Pass
151,Female,Graduate,High,Yes,Yes,Average,39.0,3.6,89.3,8.3,46.02,Fail
152,Male,No Education,Low,Yes,Yes,Good,59.1,3.1,69.5,7.1,44.49,Fail
153,Male,No Education,Medium,Yes,No,Good,66.5,1.7,49.4,6.7,44.57,Fail
154,Male,Secondary,Low,Yes,Yes,Good,64.6,4.3,61.1,7.5,43.49,Fail
155,Female,Secondary,High,Yes,Yes,Good,34.3,1.5,98.4,9.7,38.55,Fail
156,Male,Graduate,Low,Yes,Yes,Average,48.6,6.0,70.9,4.9,41.17,Fail
157,Female,Graduate,High,Yes,No,Poor,61.0,4.7,71.3,7.9,50.23,Pass
158,Female,Secondary,High,Yes,Yes,Good,70.0,1.6,70.5,5.9,47.83,Fail
159,Male,Secondary,High,No,No,Good,29.1,,100.0,7.0,42.6,Fail
160,Female,Postgraduate,Medium,No,Yes,Average,59.6,3.0,99.4,6.7,54.94,Pass
161,Male,Secondary,Medium,Yes,Yes,Excellent,64.1,5.1,100.0,,44.53,Fail
162,Female,Secondary,Medium,Yes,Yes,Good,74.7,7.2,72.6,7.0,55.15,Pass
163,Female,Primary,Low,Yes,No,Excellent,72.4,0.7,79.4,5.6,48.33,Fail
164,Female,Graduate,Medium,Yes,Yes,Good,70.7,4.7,52.3,8.2,53.36,Pass
165,Male,Graduate,Low,No,Yes,Average,50.0,4.2,97.2,4.8,40.03,Fail
166,Female,Secondary,High,Yes,No,Good,33.4,5.8,57.5,7.6,41.61,Fail
167,Male,Primary,Low,Yes,No,Average,56.1,4.9,78.3,6.6,45.54,Fail
168,Male,Graduate,Medium,Yes,Yes,Good,77.0,3.0,58.5,5.6,49.52,Fail
169,Male,Graduate,Medium,Yes,Yes,Poor,82.9,3.9,66.2,7.2,60.04,Pass
170,Female,Secondary,Medium,Yes,No,Excellent,72.7,2.9,62.4,5.1,48.68,Fail
171,Female,Postgraduate,Medium,Yes,Yes,Average,68.4,6.7,65.9,,51.87,Pass
172,Male,Primary,Low,No,Yes,Excellent,67.7,4.5,66.9,5.3,47.3,Fail
173,Male,Secondary,Medium,No,No,Excellent,53.7,8.3,66.8,7.6,42.81,Fail
174,Male,Postgraduate,Low,Yes,No,Good,60.0,4.4,87.5,5.9,49.53,Fail
175,Female,Secondary,High,Yes,No,Good,87.0,3.1,58.4,6.5,46.53,Fail
176,Male,Graduate,High,No,Yes,Good,47.9,1.5,78.3,7.4,39.8,Fail
177,Female,Secondary,High,Yes,Yes,Excellent,86.2,0.9,,6.1,40.57,Fail
178,Male,Secondary,Low,Yes,No,Good,57.2,1.3,67.3,6.9,41.89,Fail
179,Female,Postgraduate,Low,Yes,Yes,Excellent,81.9,5.0,64.2,5.2,51.98,Pass
180,Male,Secondary,Low,No,No,Good,40.9,5.5,71.5,7.8,37.11,Fail
181,Male,Postgraduate,Low,Yes,No,Excellent,70.8,,92.7,9.1,56.1,Pass
182,Male,Secondary,Low,Yes,Yes,Good,50.9,,77.9,10.0,36.54,Fail
183,Female,Secondary,Medium,No,No,Good,40.8,,67.0,7.1,46.46,Fail
184,Female,No Education,Low,No,No,Excellent,65.3,4.8,82.3,7.9,48.17,Fail
185,Male,Graduate,Medium,No,No,Excellent,77.1,7.7,58.5,4.9,50.41,Pass
186,Female,Secondary,High,Yes,Yes,Good,49.3,6.3,85.2,8.8,42.31,Fail
187,Female,Postgraduate,Medium,Yes,Yes,Average,39.5,4.0,81.1,7.9,40.97,Fail
188,Female,Secondary,Medium,No,No,Good,60.6,2.7,70.4,6.4,49.72,Fail
189,Female,Postgraduate,Medium,No,Yes,Excellent,60.7,0.2,62.4,8.5,44.77,Fail
190,Male,Primary,Medium,Yes,No,Good,70.2,3.1,,6.7,52.07,Pass
191,Male,Postgraduate,Low,Yes,Yes,Excellent,76.2,4.1,83.0,6.5,57.12,Pass
192,Female,Graduate,Medium,No,No,Poor,61.1,2.5,93.4,7.6,46.82,Fail
193,Female,Graduate,Medium,No,Yes,Good,89.8,4.2,65.4,5.7,46.73,Fail
194,Female,Graduate,High,Yes,No,Good,65.4,4.7,81.9,8.2,49.42,Fail
195,Male,Graduate,High,Yes,Yes,Excellent,56.8,4.1,43.7,5.7,36.56,Fail
196,Male,Graduate,Medium,Yes,Yes,Poor,37.8,3.2,66.2,5.7,40.42,Fail
197,Female,Primary,Medium,Yes,Yes,Excellent,58.1,4.8,74.5,5.9,47.16,Fail
198,Female,No Education,Low,Yes,No,Good,57.0,5.4,61.4,7.9,49.56,Fail
199,Female,Postgraduate,High,Yes,Yes,Average,76.4,2.3,61.0,6.3,53.21,Pass
200,Female,Graduate,Medium,Yes,No,Average,,7.3,65.0,5.4,45.0,Fail
201,Female,Graduate,Low,Yes,No,Average,44.3,4.3,79.4,6.3,32.53,Fail
202,Male,Secondary,Low,Yes,Yes,Good,64.6,4.5,72.2,7.0,54.01,Pass
203,Male,Primary,Low,No,No,Poor,72.1,5.9,41.4,5.6,48.68,Fail
204,Female,Primary,High,Yes,Yes,Average,84.9,,43.2,5.6,39.91,Fail
205,Female,Graduate,Low,Yes,No,Excellent,75.3,6.4,65.9,9.5,58.93,Pass
206,Male,Secondary,Medium,No,No,Average,73.4,5.1,81.9,6.0,54.31,Pass
207,Male,Secondary,Medium,Yes,Yes,Average,62.9,3.3,33.8,6.6,36.52,Fail
208,Female,Secondary,Medium,No,Yes,Good,67.8,5.2,67.5,6.6,55.48,Pass
209,Male,Primary,High,No,Yes,Good,80.7,2.2,67.1,,55.32,Pass
210,Male,Graduate,High,Yes,No,Good,42.0,4.7,95.8,7.7,48.97,Fail
211,Female,Secondary,Medium,No,Yes,Good,56.8,4.4,69.2,8.1,45.55,Fail
212,Female,Graduate,Low,Yes,No,Excellent,50.4,4.1,80.7,6.6,47.15,Fail
213,Female,Secondary,Medium,Yes,Yes,Good,67.7,4.2,77.1,5.5,47.27,Fail
214,Male,Secondary,Medium,Yes,No,Average,80.5,0.7,43.0,8.5,40.98,Fail
215,Female,No Education,Medium,Yes,Yes,Average,53.0,3.4,86.5,6.9,40.21,Fail
216,Male,Primary,Medium,No,No,Good,26.1,4.7,78.2,9.1,32.6,Fail
217,Male,Secondary,Low,Yes,No,Good,55.8,4.8,82.6,4.3,44.75,Fail
218,Female,Secondary,Medium,Yes,No,Good,75.7,2.4,100.0,7.2,52.5,Pass
219,Female,Graduate,Low,Yes,Yes,Good,70.1,7.0,43.7,9.3,45.46,Fail
220,Female,Secondary,High,Yes,Yes,Good,68.4,2.8,100.0,6.6,52.4,Pass
221,Female,Graduate,Medium,Yes,Yes,Average,57.8,6.4,70.7,6.7,49.17,Fail
222,Female,Postgraduate,Medium,Yes,No,Average,42.8,5.4,79.3,7.4,34.52,Fail
223,Male,Graduate,Low,No,Yes,Good,69.7,3.2,74.3,6.3,47.42,Fail
224,Male,No Education,Medium,Yes,No,Good,49.5,8.1,68.6,6.6,44.21,Fail
225,Male,Secondary,Medium,No,Yes,Good,94.8,2.1,66.5,6.6,51.95,Pass
226,Male,Primary,Low,Yes,No,Average,70.6,6.3,79.9,6.2,51.17,Pass
227,Female,Secondary,High,No,No,Good,53.3,6.5,52.2,8.5,31.74,Fail
228,Male,Postgraduate,Medium,Yes,No,Excellent,52.8,3.2,86.3,7.6,47.77,Fail
229,Female,Primary,Medium,Yes,Yes,Average,60.6,7.3,68.8,7.3,50.5,Pass
230,Female,Secondary,Medium,Yes,Yes,Good,58.4,4.0,58.0,8.0,43.51,Fail
231,Female,Graduate,Medium,No,Yes,Excellent,78.8,5.1,68.2,6.7,57.07,Pass
232,Male,Graduate,Medium,Yes,Yes,Good,64.8,5.0,93.9,6.1,54.66,Pass
233,Female,Graduate,Medium,No,No,Good,51.0,4.2,67.0,6.3,42.87,Fail
234,Male,No Education,Medium,Yes,No,Average,90.4,6.1,80.4,7.0,59.45,Pass
235,Male,Secondary,Medium,Yes,No,Good,62.7,6.1,64.0,5.7,49.26,Fail
236,Female,Secondary,Low,Yes,Yes,Average,73.5,1.0,86.4,6.4,42.21,Fail
237,Male,Primary,Low,No,No,Excellent,52.9,7.1,85.3,,43.32,Fail
238,Male,Secondary,Low,Yes,No,Good,67.4,1.2,100.0,9.5,59.32,Pass
239,Female,No Education,Medium,No,No,Excellent,66.7,6.6,72.4,4.0,36.37,Fail
240,Male,Primary,Medium,No,Yes,Good,33.7,6.8,85.0,6.8,40.34,Fail
241,Female,Secondary,High,Yes,No,Good,92.2,2.3,76.5,9.1,61.52,Pass
242,Female,Primary,Low,Yes,No,Good,81.4,3.7,94.4,7.1,56.52,Pass
243,Female,Graduate,High,No,No,Excellent,56.0,2.3,64.2,7.9,37.93,Fail
244,Male,Graduate,Medium,Yes,No,Excellent,45.5,4.1,86.2,7.1,44.55,Fail
245,Male,Graduate,High,No,Yes,Good,67.2,3.9,72.1,6.2,45.86,Fail
246,Female,Secondary,Medium,Yes,Yes,Excellent,63.3,6.1,74.0,4.3,49.16,Fail
247,Male,Primary,Medium,Yes,No,Good,67.3,7.1,76.4,7.2,47.72,Fail
248,Female,Primary,Low,No,No,Good,64.9,7.3,78.8,6.1,55.96,Pass
249,Female,Graduate,Low,Yes,Yes,Good,69.6,3.4,73.3,6.0,55.52,Pass
250,Female,Graduate,Low,Yes,No,Average,83.7,4.1,78.2,6.4,54.13,Pass
251,Male,No Education,Medium,Yes,No,Poor,70.5,1.1,98.7,9.1,44.2,Fail
252,Male,Postgraduate,Medium,Yes,No,Average,46.3,2.9,89.8,9.9,41.37,Fail
253,Female,Primary,High,Yes,Yes,Good,82.4,,88.0,7.3,56.3,Pass
254,Male,Secondary,Medium,No,No,Good,86.6,7.7,68.2,6.4,58.87,Pass
255,Male,Graduate,High,Yes,No,Good,100.0,2.0,61.7,5.6,49.74,Fail
256,Female,Postgraduate,Low,Yes,No,Excellent,45.1,3.3,89.3,7.6,40.11,Fail
257,Female,Graduate,Low,Yes,No,Good,65.6,4.4,88.1,9.1,53.94,Pass
258,Female,Graduate,Medium,Yes,No,Good,30.8,5.1,97.1,6.7,47.03,Fail
259,Female,Secondary,Medium,Yes,No,Average,70.3,2.9,65.9,4.1,42.5,Fail
260,Male,Graduate,Medium,No,Yes,Poor,53.8,5.3,71.6,7.8,37.06,Fail
261,Female,Primary,High,No,No,Good,90.9,3.6,50.4,8.2,65.5,Pass
262,Female,Postgraduate,Low,Yes,No,Good,50.4,4.5,,5.1,47.21,Fail
263,Male,Secondary,Medium,Yes,Yes,Good,36.7,5.6,89.9,7.2,41.68,Fail
264,Male,Graduate,High,Yes,No,Average,54.9,4.5,68.0,7.5,47.27,Fail
265,Female,Secondary,Low,Yes,No,Good,32.4,3.6,,6.9,34.67,Fail
266,Female,Graduate,High,Yes,No,Average,73.3,4.3,72.1,6.1,54.53,Pass
267,Female,Secondary,High,Yes,Yes,Average,31.0,4.3,79.9,8.2,38.05,Fail
268,Female,Graduate,Low,Yes,No,Poor,62.4,3.8,57.8,6.5,42.25,Fail
269,Male,Primary,Low,Yes,Yes,Average,30.8,4.0,76.3,5.2,34.66,Fail
270,Male,Primary,Medium,Yes,Yes,Average,57.2,7.7,30.1,4.5,29.56,Fail
271,Female,Secondary,High,No,No,Average,86.7,5.6,72.2,8.5,65.0,Pass
272,Female,Primary,Medium,Yes,Yes,Excellent,67.4,3.9,50.5,7.7,37.26,Fail
273,Female,Postgraduate,Medium,Yes,No,Average,49.0,5.9,93.1,7.1,41.95,Fail
274,Female,Secondary,High,Yes,Yes,Average,61.5,,86.7,6.5,48.77,Fail
275,Male,Postgraduate,Low,Yes,Yes,Average,62.3,6.8,82.0,6.4,46.87,Fail
276,Male,Secondary,High,Yes,Yes,Good,69.1,5.2,97.8,5.7,55.86,Pass
277,Female,Primary,Medium,Yes,No,Poor,41.5,4.3,60.8,6.5,38.54,Fail
278,Female,Graduate,Medium,Yes,No,Excellent,70.9,5.4,100.0,4.5,62.52,Pass
279,Female,Graduate,High,Yes,No,Excellent,21.4,1.4,89.0,6.1,37.72,Fail
280,Female,Secondary,Medium,No,Yes,Average,52.6,,71.5,6.6,40.71,Fail
281,Female,Graduate,Low,Yes,Yes,Good,54.7,2.1,92.0,7.7,46.81,Fail
282,Male,Graduate,Medium,Yes,No,Poor,71.5,4.8,58.4,7.0,48.34,Fail
283,Male,Secondary,Medium,Yes,Yes,Good,62.3,8.0,62.6,8.0,38.77,Fail
284,Male,Postgraduate,Low,Yes,Yes,Good,40.9,9.0,65.9,8.6,45.36,Fail
285,Female,Postgraduate,High,Yes,No,Average,47.2,5.8,67.1,8.3,34.42,Fail
286,Male,Graduate,Low,Yes,Yes,Average,65.0,5.5,59.2,7.6,55.42,Pass
287,Male,Primary,Medium,Yes,No,Good,60.8,0.9,93.3,7.0,44.86,Fail
288,Female,Graduate,Medium,No,No,Good,53.3,3.4,71.1,5.8,40.59,Fail
289,Male,Primary,Low,Yes,Yes,Average,54.8,2.9,80.3,7.9,39.68,Fail
290,Female,No Education,High,Yes,Yes,Good,72.4,3.3,66.4,9.0,43.57,Fail
291,Male,Secondary,High,Yes,Yes,Good,,4.2,47.7,7.4,51.48,Pass
292,Male,Secondary,Medium,No,No,Excellent,60.7,3.6,79.1,9.3,50.75,Pass
293,Female,Postgraduate,Low,Yes,No,Average,94.5,0.5,46.3,5.2,39.65,Fail
294,Male,Graduate,Low,Yes,Yes,Excellent,40.6,6.0,74.0,5.6,48.7,Fail
295,Male,Graduate,Medium,Yes,Yes,Good,34.2,2.4,54.5,,36.46,Fail
296,Female,Secondary,Low,Yes,No,Average,73.8,,100.0,7.3,55.37,Pass
